Country,Coder,Reference,Year,Subregion,FAD type,Event,Event notes,N FADs,N public FADs,N private FADs,FAD density,N FAD fishers,N FAD vessels,N FADs/fisher,Prevalence,Longevity,Deployment depth,Distance from shore,Deployment distribution,Landings,Landings unit,Revenue,Catch species composition,Catch size composition,Construction materials,Construction costs,Operation costs,Funding,Managment,Legislation,Average age of fishers,Dominant etnia among fishers,Mean years of fishing experience,Mean years of offshore fishing activity
Anguilla,MW,CRFM 2015,1970,,,Introduction,late 1960s-early 1970s: moored bamboo rafts,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,MW,LaPlace (pers. com.) 2018,2018,,,Active,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua & Barbuda,IR,"SeaGrant, JICA and University of Florida, 2017",2017,,,,,,,,,,,,,,,,,,,,,,,,,Partnership between goverment and JICA,,,42,Black,18.03,7
Antigua & Barbuda,JL,Looby (WECAF Report 2002),2002,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
Antigua & Barbuda,MW,Looby 2007 (WECAFC report),1995,,,Introduction,1990s,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua & Barbuda,MW,Looby 2007 (WECAFC report),2002,,,Adoption,,,,,,,,,,,800-1000m,15-60nm,,,,,,,,,,,,,,,,
Antigua & Barbuda,MW,CRFM 2015,2013,,,Legislation,,,,,,,,,,,,,,,,,,,,,,,,"Legislation regarding marking, deploying, and disposing of FADs; must be authorized by fisheries division",,,,
Antigua & Barbuda,MW,CRFM 2015,2013,,public,Active,,3,,,,,,,,,,,,,,,,,,,,JICA,,,,,,
Antigua & Barbuda,MW,CRFM 2015,2013,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,
Antigua & Barbuda,MW,Psihoyos (pers. com.) 2018,2018,,,Active,,20,2,18,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,MW,van But 2007 (WECAFC report),2002,,,Introduction,,,,,,,,,,,,,,,,,,,Constructed metal buoys with poles,,,,,,,,,
Aruba,MW,,2018,,,No data,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,MW,,2018,,,No data,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,MW,CRFM 2015,1970,,,Introduction,late 1960s-early 1970s: moored bamboo rafts,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,MW,Marshall 2007 (WECAFC report),1989,,public,Introduction,Lost after several months apparently due to cutting,1,1,,,,,,,3 months,540m,5nm,,,,,,,"3 upright plastic drums and central bamboo, radar deflector",,,,,,,,,
Bonaire,MW,CRFM 2015,1970,,,Introduction,late 1960s-early 1970s: moored bamboo rafts,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonaire,MW,van But 2007 (WECAFC report),2002,,,Introduction,,,,,,,,,,,,,,,,,,,Constructed metal buoys with poles,,,,,,,,,
Bonaire,MW,Y. de Vries (pers. comm.) 2018,2018,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonaire,MW,Y. de Vries (pers. comm.) 2018,,,,Adoption,"About to set 6 as of 2019, will be managed by fishers",6,6,,,,,,,,,,,,,,,,,,,,,,,,,
BVIs,MW,,2018,,,No data,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia (San Andres & Providencia),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,JL,Martin (WECAF Report 2002),2002,,,,,3,,,,,,,,,,,,10 t,3 months,,"White marlin (60%), Sailfish (25%), Common Dolphin (15%)",,,"""High""",,,,,,,,
Curacao,MW,CRFM 2015,1970,,,Introduction,late 1960s-early 1970s: moored bamboo rafts,,,,,,,,,,,,,,,,,,,,,,,,,,,
