"","Country","Commodity","Flow","Unit","X","Year","Quantity"," F"
"1","Antigua and Barbuda","Alaska pollock fillets, frozen","Imports","Tonnes","","2014","-",NA
"2","Antigua and Barbuda","Alaska pollock, meat, whether or not minced, frozen","Imports","Tonnes","","2014","-",NA
"3","Antigua and Barbuda","Albacore (=Longfin tuna), fresh or chilled","Imports","Tonnes","","2014","...",NA
"4","Antigua and Barbuda","Albacore (=Longfin tuna), frozen, nei","Imports","Tonnes","","2014","0",NA
"5","Antigua and Barbuda","Anchovies, prepared or preserved, not minced","Exports","Tonnes","","2014","-",NA
"6","Antigua and Barbuda","Anchovies, prepared or preserved, not minced","Imports","Tonnes","","2014","5",NA
"7","Antigua and Barbuda","Anchovies, salted or in brine","Imports","Tonnes","","2014","-",NA
"8","Antigua and Barbuda","Argentinian hake fillets, frozen","Exports","Tonnes","","2014","-",NA
"9","Antigua and Barbuda","Atlantic (Thunnus thynnus) and Pacific (Thunnus orientalis) bluefin tuna, frozen","Imports","Tonnes","","2014","-",NA
"10","Antigua and Barbuda","Atlantic cod, frozen","Imports","Tonnes","","2014","-",NA
"11","Antigua and Barbuda","Atlantic herring, frozen","Imports","Tonnes","","2014","-",NA
"12","Antigua and Barbuda","Cape hake fillets, frozen","Imports","Tonnes","","2014","-",NA
"13","Antigua and Barbuda","Caviar and caviar substitutes","Imports","Tonnes","","2014","2",NA
"14","Antigua and Barbuda","Cod nei fillets, dried, salted or in brine","Imports","Tonnes","","2014","-",NA
"15","Antigua and Barbuda","Cod nei, fillets, frozen","Imports","Tonnes","","2014","-",NA
"16","Antigua and Barbuda","Cod, salted and dried (klipfish)","Imports","Tonnes","","2014","-",NA
"17","Antigua and Barbuda","Cods nei, dried,  whether or not salted","Exports","Tonnes","","2014","-",NA
"18","Antigua and Barbuda","Cods nei, dried,  whether or not salted","Imports","Tonnes","","2014","24",NA
"19","Antigua and Barbuda","Cods nei, dried,  whether or not salted","Reexports","Tonnes","","2014","-",NA
"20","Antigua and Barbuda","Cods nei, fillets, fresh or chilled","Imports","Tonnes","","2014","-",NA
"21","Antigua and Barbuda","Cods nei, frozen","Exports","Tonnes","","2014","-",NA
"22","Antigua and Barbuda","Cods nei, frozen","Imports","Tonnes","","2014","0",NA
"23","Antigua and Barbuda","Cods nei, salted or in brine","Exports","Tonnes","","2014","0",NA
"24","Antigua and Barbuda","Cods nei, salted or in brine","Imports","Tonnes","","2014","-",NA
"25","Antigua and Barbuda","Cods nei, salted or in brine","Reexports","Tonnes","","2014","0",NA
"26","Antigua and Barbuda","Cods, fresh or chilled, nei","Exports","Tonnes","","2014","-",NA
"27","Antigua and Barbuda","Cods, fresh or chilled, nei","Imports","Tonnes","","2014","...",NA
"28","Antigua and Barbuda","Cods, fresh or chilled, nei","Reexports","Tonnes","","2014","-",NA
"29","Antigua and Barbuda","Cods, not minced, prepared or preserved","Imports","Tonnes","","2014","-",NA
"30","Antigua and Barbuda","Common sole, fresh or chilled","Imports","Tonnes","","2014","-",NA
"31","Antigua and Barbuda","Common sole, frozen","Imports","Tonnes","","2014","-",NA
"32","Antigua and Barbuda","Euthynnus other than skipjack prep. or pres. not minced, nei","Imports","Tonnes","","2014","-",NA
"33","Antigua and Barbuda","Fish body oils, nei","Imports","Tonnes","","2014","0",NA
"34","Antigua and Barbuda","Fish dried, whether or not salted, nei","Exports","Tonnes","","2014","11",NA
"35","Antigua and Barbuda","Fish dried, whether or not salted, nei","Imports","Tonnes","","2014","252",NA
"36","Antigua and Barbuda","Fish dried, whether or not salted, nei","Reexports","Tonnes","","2014","11",NA
"37","Antigua and Barbuda","Fish fillets, dried, salted or in brine, nei","Exports","Tonnes","","2014","-",NA
"38","Antigua and Barbuda","Fish fillets, dried, salted or in brine, nei","Imports","Tonnes","","2014","2",NA
"39","Antigua and Barbuda","Fish fillets, dried, salted or in brine, nei","Reexports","Tonnes","","2014","-",NA
"40","Antigua and Barbuda","Fish fillets, fresh or chilled, nei","Imports","Tonnes","","2014","2",NA
"41","Antigua and Barbuda","Fish fillets, frozen, nei","Imports","Tonnes","","2014","180",NA
"42","Antigua and Barbuda","Fish fillets, prep. or pres, incl. raw, coated in batter or breadcrum, cooked or not, frozen","Imports","Tonnes","","2014","-",NA
"43","Antigua and Barbuda","Fish live, nei","Exports","Tonnes","","2014","0",NA
"44","Antigua and Barbuda","Fish live, nei","Imports","Tonnes","","2014","0",NA
"45","Antigua and Barbuda","Fish live, nei","Reexports","Tonnes","","2014","-",NA
"46","Antigua and Barbuda","Fish liver oils, nei","Exports","Tonnes","","2014","...",NA
"47","Antigua and Barbuda","Fish liver oils, nei","Imports","Tonnes","","2014","3",NA
"48","Antigua and Barbuda","Fish liver oils, nei","Reexports","Tonnes","","2014","...",NA
"49","Antigua and Barbuda","Fish meat, whether or not minced, frozen, nei","Exports","Tonnes","","2014","0",NA
"50","Antigua and Barbuda","Fish meat, whether or not minced, frozen, nei","Imports","Tonnes","","2014","48",NA
"51","Antigua and Barbuda","Fish meat, whether or not minced, frozen, nei","Reexports","Tonnes","","2014","0",NA
